
task_id,transaction_id,region,user_id,role,variant,step_index,action_name,application,duration_sec,start_time_sec,end_time_sec,decision_outcome,auto_score
invoice_approval,TX0003,APAC,U489,AP Clerk,A,7,record_log,Excel,7.88,103.1,110.97,approved,0.9
invoice_approval,TX0003,APAC,U489,AP Clerk,A,8,notify_requester,Outlook,8.79,110.97,119.77,approved,0.8
invoice_approval,TX0004,NorthAmerica,U470,AP Clerk,D,1,read_email,Outlook,19.57,0.0,19.57,,0.8
invoice_approval,TX0004,NorthAmerica,U470,AP Clerk,D,2,download_attachment,Outlook,9.12,19.57,28.69,,0.8
invoice_approval,TX0004,NorthAmerica,U470,AP Clerk,D,3,open_invoice,PDF Viewer,15.46,28.69,44.14,,0.9
invoice_approval,TX0004,NorthAmerica,U470,AP Clerk,D,4,validate_invoice_data,SAP,48.19,44.14,92.33,,0.6
invoice_approval,TX0004,NorthAmerica,U470,AP Clerk,D,5,check_tolerance,SAP,35.11,92.33,127.44,exceeds_tolerance,0.6
invoice_approval,TX0004,NorthAmerica,U470,AP Clerk,D,6,send_for_review,Outlook,53.5,127.44,180.94,requires_review,0.8
invoice_approval,TX0004,NorthAmerica,U470,AP Clerk,D,7,end_process,-,1.0,180.94,181.94,requires_review,0.6
invoice_approval,TX0005,APAC,U463,AP Clerk,A,1,read_email,Outlook,27.0,0.0,27.0,,0.8
invoice_approval,TX0005,APAC,U463,AP Clerk,A,2,download_attachment,Outlook,9.25,27.0,36.25,,0.8
invoice_approval,TX0005,APAC,U463,AP Clerk,A,3,open_invoice,PDF Viewer,24.34,36.25,60.59,,0.9
invoice_approval,TX0005,APAC,U463,AP Clerk,A,4,validate_invoice_data,SAP,31.81,60.59,92.4,,0.6
invoice_approval,TX0005,APAC,U463,AP Clerk,A,5,check_tolerance,SAP,21.21,92.4,113.6,exceeds_tolerance,0.6
invoice_approval,TX0005,APAC,U463,AP Clerk,A,6,approve_invoice,SAP,24.53,113.6,138.14,approved,0.6
invoice_approval,TX0005,APAC,U463,AP Clerk,A,7,record_log,Excel,12.63,138.14,150.77,approved,0.9
invoice_approval,TX0005,APAC,U463,AP Clerk,A,8,notify_requester,Outlook,5.61,150.77,156.38,approved,0.8
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,1,read_email,Outlook,30.37,0.0,30.37,,0.8
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,2,download_attachment,Outlook,10.35,30.37,40.72,,0.8
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,3,open_invoice,PDF Viewer,12.15,40.72,52.88,,0.9
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,4,validate_invoice_data,SAP,48.53,52.88,101.41,,0.6
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,5,check_tolerance,SAP,31.4,101.41,132.8,within_tolerance,0.6
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,6,approve_invoice,SAP,28.48,132.8,161.29,approved,0.6
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,7,record_log,Excel,24.29,161.29,185.57,approved,0.9
invoice_approval,TX0006,NorthAmerica,U432,Supervisor,A,8,notify_requester,Outlook,11.24,185.57,196.81,approved,0.8
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,1,read_email,Outlook,16.95,0.0,16.95,,0.8
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,2,download_attachment,Outlook,9.79,16.95,26.74,,0.8
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,3,open_invoice,PDF Viewer,18.0,26.74,44.74,,0.9
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,4,validate_invoice_data,SAP,32.77,44.74,77.5,,0.6
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,5,check_tolerance,SAP,27.65,77.5,105.16,within_tolerance,0.6
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,6,approve_invoice,SAP,29.85,105.16,135.01,approved,0.6
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,7,record_log,Excel,12.58,135.01,147.59,approved,0.9
invoice_approval,TX0007,LATAM,U758,AP Clerk,A,8,notify_requester,Outlook,11.33,147.59,158.92,approved,0.8
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,1,read_email,Outlook,37.01,0.0,37.01,,0.8
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,2,download_attachment,Outlook,13.25,37.01,50.26,,0.8
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,3,open_invoice,PDF Viewer,18.57,50.26,68.84,,0.9
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,4,validate_invoice_data,SAP,42.74,68.84,111.57,,0.6
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,5,check_tolerance,SAP,21.91,111.57,133.49,exceeds_tolerance,0.6
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,6,approve_invoice,SAP,10.29,133.49,143.77,approved,0.6
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,7,manager_approval,Outlook,93.84,143.77,237.62,approved,0.8
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,8,record_log,Excel,4.53,237.62,242.15,approved,0.9
invoice_approval,TX0008,NorthAmerica,U873,AP Clerk,B,9,notify_requester,Outlook,9.03,242.15,251.18,approved,0.8
invoice_approval,TX0009,Americas,U217,Manager,C,1,read_email,Outlook,16.17,0.0,16.17,,0.8
invoice_approval,TX0009,Americas,U217,Manager,C,2,download_attachment,Outlook,9.46,16.17,25.62,,0.8
invoice_approval,TX0009,Americas,U217,Manager,C,3,open_invoice,PDF Viewer,13.77,25.62,39.39,,0.9
invoice_approval,TX0009,Americas,U217,Manager,C,4,validate_invoice_data,SAP,36.23,39.39,75.63,,0.6
invoice_approval,TX0009,Americas,U217,Manager,C,5,check_tolerance,SAP,21.93,75.63,97.56,within_tolerance,0.6
invoice_approval,TX0009,Americas,U217,Manager,C,6,approve_invoice,SAP,27.63,97.56,125.19,approved,0.6
invoice_approval,TX0009,Americas,U217,Manager,C,7,record_log,Excel,17.22,125.19,142.41,approved,0.9
invoice_approval,TX0009,Americas,U217,Manager,C,8,update_local_log,Notepad,17.25,142.41,159.66,approved,0.9
invoice_approval,TX0009,Americas,U217,Manager,C,9,notify_requester,Outlook,8.75,159.66,168.4,approved,0.8
invoice_approval,TX0010,Americas,U405,Supervisor,D,1,read_email,Outlook,19.99,0.0,19.99,,0.8
invoice_approval,TX0010,Americas,U405,Supervisor,D,2,download_attachment,Outlook,8.0,19.99,27.99,,0.8
invoice_approval,TX0010,Americas,U405,Supervisor,D,3,open_invoice,PDF Viewer,14.87,27.99,42.86,,0.9
invoice_approval,TX0010,Americas,U405,Supervisor,D,4,validate_invoice_data,SAP,35.83,42.86,78.7,,0.6
invoice_approval,TX0010,Americas,U405,Supervisor,D,5,check_tolerance,SAP,33.38,78.7,112.08,within_tolerance,0.6
invoice_approval,TX0010,Americas,U405,Supervisor,D,6,send_for_review,Outlook,69.79,112.08,181.86,requires_review,0.8
invoice_approval,TX0010,Americas,U405,Supervisor,D,7,end_process,-,1.0,181.86,182.86,requires_review,0.6
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,1,read_email,Outlook,10.53,0.0,10.53,,0.8
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,2,download_attachment,Outlook,16.61,10.53,27.14,,0.8
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,3,open_invoice,PDF Viewer,16.03,27.14,43.18,,0.9
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,4,validate_invoice_data,SAP,33.07,43.18,76.24,,0.6
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,5,check_tolerance,SAP,30.59,76.24,106.84,exceeds_tolerance,0.6
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,6,approve_invoice,SAP,32.75,106.84,139.59,approved,0.6
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,7,record_log,Excel,14.17,139.59,153.76,approved,0.9
invoice_approval,TX0011,NorthAmerica,U119,AP Clerk,A,8,notify_requester,Outlook,6.34,153.76,160.1,approved,0.8
invoice_approval,TX0012,NorthAmerica,U231,Manager,D,1,read_email,Outlook,22.84,0.0,22.84,,0.8
invoice_approval,TX0012,NorthAmerica,U231,Manager,D,2,download_attachment,Outlook,9.41,22.84,32.25,,0.8
invoice_approval,TX0012,NorthAmerica,U231,Manager,D,3,open_invoice,PDF Viewer,9.62,32.25,41.87,,0.9
invoice_approval,TX0012,NorthAmerica,U231,Manager,D,4,validate_invoice_data,SAP,37.64,41.87,79.5,,0.6
invoice_approval,TX0012,NorthAmerica,U231,Manager,D,5,check_tolerance,SAP,47.94,79.5,127.44,within_tolerance,0.6
invoice_approval,TX0012,NorthAmerica,U231,Manager,D,6,send_for_review,Outlook,44.89,127.44,172.33,requires_review,0.8
invoice_approval,TX0012,NorthAmerica,U231,Manager,D,7,end_process,-,1.0,172.33,173.33,requires_review,0.6
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,1,read_email,Outlook,12.66,0.0,12.66,,0.8
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,2,download_attachment,Outlook,12.66,12.66,25.31,,0.8
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,3,open_invoice,PDF Viewer,12.41,25.31,37.73,,0.9
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,4,validate_invoice_data,SAP,40.05,37.73,77.78,,0.6
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,5,check_tolerance,SAP,32.91,77.78,110.69,exceeds_tolerance,0.6
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,6,approve_invoice,SAP,17.46,110.69,128.14,approved,0.6
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,7,record_log,Excel,13.23,128.14,141.37,approved,0.9
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,8,compile_summary,Excel,47.54,141.37,188.91,approved,0.9
invoice_approval,TX0013,LATAM,U765,AP Clerk,E,9,notify_requester,Outlook,10.14,188.91,199.05,approved,0.8
invoice_approval,TX0014,Americas,U132,Supervisor,A,1,read_email,Outlook,23.33,0.0,23.33,,0.8
invoice_approval,TX0014,Americas,U132,Supervisor,A,2,download_attachment,Outlook,10.95,23.33,34.28,,0.8
invoice_approval,TX0014,Americas,U132,Supervisor,A,3,open_invoice,PDF Viewer,13.65,34.28,47.93,,0.9
invoice_approval,TX0014,Americas,U132,Supervisor,A,4,validate_invoice_data,SAP,33.94,47.93,81.86,,0.6
invoice_approval,TX0014,Americas,U132,Supervisor,A,5,check_tolerance,SAP,42.62,81.86,124.49,within_tolerance,0.6
invoice_approval,TX0014,Americas,U132,Supervisor,A,6,approve_invoice,SAP,35.38,124.49,159.87,approved,0.6
invoice_approval,TX0014,Americas,U132,Supervisor,A,7,record_log,Excel,8.09,159.87,167.96,approved,0.9
invoice_approval,TX0014,Americas,U132,Supervisor,A,8,notify_requester,Outlook,10.6,167.96,178.56,approved,0.8
invoice_approval,TX0015,LATAM,U199,Manager,A,1,read_email,Outlook,16.86,0.0,16.86,,0.8
invoice_approval,TX0015,LATAM,U199,Manager,A,2,download_attachment,Outlook,12.45,16.86,29.31,,0.8
invoice_approval,TX0015,LATAM,U199,Manager,A,3,open_invoice,PDF Viewer,15.88,29.31,45.19,,0.9
invoice_approval,TX0015,LATAM,U199,Manager,A,4,validate_invoice_data,SAP,37.48,45.19,82.67,,0.6
invoice_approval,TX0015,LATAM,U199,Manager,A,5,check_tolerance,SAP,23.43,82.67,106.09,exceeds_tolerance,0.6
invoice_approval,TX0015,LATAM,U199,Manager,A,6,approve_invoice,SAP,17.89,106.09,123.99,approved,0.6
invoice_approval,TX0015,LATAM,U199,Manager,A,7,record_log,Excel,14.02,123.99,138.01,approved,0.9
invoice_approval,TX0015,LATAM,U199,Manager,A,8,notify_requester,Outlook,6.44,138.01,144.45,approved,0.8
invoice_approval,TX0016,Americas,U294,AP Clerk,A,1,read_email,Outlook,22.03,0.0,22.03,,0.8
invoice_approval,TX0016,Americas,U294,AP Clerk,A,2,download_attachment,Outlook,11.47,22.03,33.5,,0.8
invoice_approval,TX0016,Americas,U294,AP Clerk,A,3,open_invoice,PDF Viewer,7.07,33.5,40.57,,0.9
invoice_approval,TX0016,Americas,U294,AP Clerk,A,4,validate_invoice_data,SAP,44.74,40.57,85.31,,0.6
invoice_approval,TX0016,Americas,U294,AP Clerk,A,5,check_tolerance,SAP,42.93,85.31,128.25,within_tolerance,0.6
invoice_approval,TX0016,Americas,U294,AP Clerk,A,6,approve_invoice,SAP,29.97,128.25,158.22,approved,0.6
invoice_approval,TX0016,Americas,U294,AP Clerk,A,7,record_log,Excel,19.75,158.22,177.97,approved,0.9
invoice_approval,TX0016,Americas,U294,AP Clerk,A,8,notify_requester,Outlook,11.68,177.97,189.65,approved,0.8
invoice_approval,TX0017,NorthAmerica,U195,Supervisor,D,1,read_email,Outlook,21.75,0.0,21.75,,0.8
invoice_approval,TX0017,NorthAmerica,U195,Supervisor,D,2,download_attachment,Outlook,8.53,21.75,30.28,,0.8
invoice_approval,TX0017,NorthAmerica,U195,Supervisor,D,3,open_invoice,PDF Viewer,12.24,30.28,42.52,,0.9
invoice_approval,TX0017,NorthAmerica,U195,Supervisor,D,4,validate_invoice_data,SAP,40.62,42.52,83.14,,0.6
invoice_approval,TX0017,NorthAmerica,U195,Supervisor,D,5,check_tolerance,SAP,27.74,83.14,110.88,within_tolerance,0.6
invoice_approval,TX0017,NorthAmerica,U195,Supervisor,D,6,send_for_review,Outlook,52.02,110.88,162.91,requires_review,0.8
invoice_approval,TX0017,NorthAmerica,U195,Supervisor,D,7,end_process,-,1.0,162.91,163.91,requires_review,0.6
invoice_approval,TX0018,LATAM,U813,Analyst,A,1,read_email,Outlook,19.64,0.0,19.64,,0.8
invoice_approval,TX0018,LATAM,U813,Analyst,A,2,download_attachment,Outlook,13.82,19.64,33.46,,0.8
invoice_approval,TX0018,LATAM,U813,Analyst,A,3,open_invoice,PDF Viewer,14.85,33.46,48.31,,0.9
invoice_approval,TX0018,LATAM,U813,Analyst,A,4,validate_invoice_data,SAP,38.86,48.31,87.17,,0.6
invoice_approval,TX0018,LATAM,U813,Analyst,A,5,check_tolerance,SAP,25.45,87.17,112.62,within_tolerance,0.6
invoice_approval,TX0018,LATAM,U813,Analyst,A,6,approve_invoice,SAP,32.74,112.62,145.36,approved,0.6
invoice_approval,TX0018,LATAM,U813,Analyst,A,7,record_log,Excel,13.97,145.36,159.33,approved,0.9
invoice_approval,TX0018,LATAM,U813,Analyst,A,8,notify_requester,Outlook,6.8,159.33,166.13,approved,0.8
invoice_approval,TX0019,Americas,U588,AP Clerk,A,1,read_email,Outlook,17.82,0.0,17.82,,0.8
invoice_approval,TX0019,Americas,U588,AP Clerk,A,2,download_attachment,Outlook,11.06,17.82,28.88,,0.8
invoice_approval,TX0019,Americas,U588,AP Clerk,A,3,open_invoice,PDF Viewer,13.13,28.88,42.01,,0.9
invoice_approval,TX0019,Americas,U588,AP Clerk,A,4,validate_invoice_data,SAP,43.96,42.01,85.97,,0.6
invoice_approval,TX0019,Americas,U588,AP Clerk,A,5,check_tolerance,SAP,29.2,85.97,115.18,exceeds_tolerance,0.6
invoice_approval,TX0019,Americas,U588,AP Clerk,A,6,approve_invoice,SAP,17.56,115.18,132.74,approved,0.6
invoice_approval,TX0019,Americas,U588,AP Clerk,A,7,record_log,Excel,11.63,132.74,144.36,approved,0.9
invoice_approval,TX0019,Americas,U588,AP Clerk,A,8,notify_requester,Outlook,10.09,144.36,154.46,approved,0.8
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,1,read_email,Outlook,22.52,0.0,22.52,,0.8
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,2,download_attachment,Outlook,13.82,22.52,36.34,,0.8
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,3,open_invoice,PDF Viewer,17.88,36.34,54.22,,0.9
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,4,validate_invoice_data,SAP,32.0,54.22,86.22,,0.6
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,5,check_tolerance,SAP,27.22,86.22,113.44,within_tolerance,0.6
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,6,approve_invoice,SAP,22.48,113.44,135.92,approved,0.6
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,7,record_log,Excel,11.96,135.92,147.88,approved,0.9
invoice_approval,TX0020,NorthAmerica,U708,AP Clerk,A,8,notify_requester,Outlook,9.9,147.88,157.78,approved,0.8
invoice_approval,TX0021,APAC,U869,Supervisor,B,1,read_email,Outlook,22.64,0.0,22.64,,0.8
invoice_approval,TX0021,APAC,U869,Supervisor,B,2,download_attachment,Outlook,14.17,22.64,36.81,,0.8
invoice_approval,TX0021,APAC,U869,Supervisor,B,3,open_invoice,PDF Viewer,15.33,36.81,52.13,,0.9
invoice_approval,TX0021,APAC,U869,Supervisor,B,4,validate_invoice_data,SAP,35.76,52.13,87.9,,0.6
invoice_approval,TX0021,APAC,U869,Supervisor,B,5,check_tolerance,SAP,28.58,87.9,116.48,within_tolerance,0.6
invoice_approval,TX0021,APAC,U869,Supervisor,B,6,approve_invoice,SAP,21.8,116.48,138.29,approved,0.6
invoice_approval,TX0021,APAC,U869,Supervisor,B,7,manager_approval,Outlook,59.7,138.29,197.99,approved,0.8
invoice_approval,TX0021,APAC,U869,Supervisor,B,8,record_log,Excel,14.12,197.99,212.11,approved,0.9
invoice_approval,TX0021,APAC,U869,Supervisor,B,9,notify_requester,Outlook,10.61,212.11,222.73,approved,0.8
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,1,read_email,Outlook,15.91,0.0,15.91,,0.8
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,2,download_attachment,Outlook,9.32,15.91,25.23,,0.8
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,3,open_invoice,PDF Viewer,22.22,25.23,47.45,,0.9
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,4,validate_invoice_data,SAP,38.16,47.45,85.61,,0.6
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,5,check_tolerance,SAP,18.32,85.61,103.93,within_tolerance,0.6
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,6,approve_invoice,SAP,23.39,103.93,127.32,approved,0.6
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,7,record_log,Excel,16.7,127.32,144.02,approved,0.9
invoice_approval,TX0022,EMEA,U261,AP Clerk,A,8,notify_requester,Outlook,9.61,144.02,153.63,approved,0.8
invoice_approval,TX0023,EMEA,U209,Manager,A,1,read_email,Outlook,22.28,0.0,22.28,,0.8
invoice_approval,TX0023,EMEA,U209,Manager,A,2,download_attachment,Outlook,12.02,22.28,34.3,,0.8
invoice_approval,TX0023,EMEA,U209,Manager,A,3,open_invoice,PDF Viewer,15.9,34.3,50.2,,0.9
invoice_approval,TX0023,EMEA,U209,Manager,A,4,validate_invoice_data,SAP,48.88,50.2,99.08,,0.6
invoice_approval,TX0023,EMEA,U209,Manager,A,5,check_tolerance,SAP,24.01,99.08,123.09,within_tolerance,0.6
invoice_approval,TX0023,EMEA,U209,Manager,A,6,approve_invoice,SAP,14.15,123.09,137.23,approved,0.6
invoice_approval,TX0023,EMEA,U209,Manager,A,7,record_log,Excel,14.94,137.23,152.17,approved,0.9
invoice_approval,TX0023,EMEA,U209,Manager,A,8,notify_requester,Outlook,14.37,152.17,166.54,approved,0.8
invoice_approval,TX0024,Americas,U533,Supervisor,A,1,read_email,Outlook,24.33,0.0,24.33,,0.8
invoice_approval,TX0024,Americas,U533,Supervisor,A,2,download_attachment,Outlook,10.74,24.33,35.07,,0.8
invoice_approval,TX0024,Americas,U533,Supervisor,A,3,open_invoice,PDF Viewer,22.61,35.07,57.68,,0.9
invoice_approval,TX0024,Americas,U533,Supervisor,A,4,validate_invoice_data,SAP,60.46,57.68,118.14,,0.6
invoice_approval,TX0024,Americas,U533,Supervisor,A,5,check_tolerance,SAP,34.56,118.14,152.7,within_tolerance,0.6
invoice_approval,TX0024,Americas,U533,Supervisor,A,6,approve_invoice,SAP,30.51,152.7,183.2,approved,0.6
invoice_approval,TX0024,Americas,U533,Supervisor,A,7,record_log,Excel,13.19,183.2,196.4,approved,0.9
invoice_approval,TX0024,Americas,U533,Supervisor,A,8,notify_requester,Outlook,9.64,196.4,206.03,approved,0.8
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,1,read_email,Outlook,14.99,0.0,14.99,,0.8
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,2,download_attachment,Outlook,8.97,14.99,23.96,,0.8
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,3,open_invoice,PDF Viewer,18.68,23.96,42.63,,0.9
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,4,validate_invoice_data,SAP,42.47,42.63,85.11,,0.6
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,5,check_tolerance,SAP,49.55,85.11,134.66,exceeds_tolerance,0.6
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,6,approve_invoice,SAP,18.44,134.66,153.1,approved,0.6
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,7,manager_approval,Outlook,45.77,153.1,198.87,approved,0.8
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,8,record_log,Excel,19.72,198.87,218.59,approved,0.9
invoice_approval,TX0025,EMEA,U954,AP Clerk,B,9,notify_requester,Outlook,9.07,218.59,227.66,approved,0.8
invoice_approval,TX0026,NorthAmerica,U516,Analyst,D,1,read_email,Outlook,15.95,0.0,15.95,,0.8
invoice_approval,TX0026,NorthAmerica,U516,Analyst,D,2,download_attachment,Outlook,9.98,15.95,25.93,,0.8
invoice_approval,TX0026,NorthAmerica,U516,Analyst,D,3,open_invoice,PDF Viewer,5.88,25.93,31.81,,0.9
invoice_approval,TX0026,NorthAmerica,U516,Analyst,D,4,validate_invoice_data,SAP,40.5,31.81,72.3,,0.6
invoice_approval,TX0026,NorthAmerica,U516,Analyst,D,5,check_tolerance,SAP,34.75,72.3,107.05,within_tolerance,0.6
invoice_approval,TX0026,NorthAmerica,U516,Analyst,D,6,send_for_review,Outlook,54.56,107.05,161.61,requires_review,0.8
invoice_approval,TX0026,NorthAmerica,U516,Analyst,D,7,end_process,-,1.0,161.61,162.61,requires_review,0.6
invoice_approval,TX0027,EMEA,U440,Manager,C,1,read_email,Outlook,13.67,0.0,13.67,,0.8
invoice_approval,TX0027,EMEA,U440,Manager,C,2,download_attachment,Outlook,12.35,13.67,26.02,,0.8
invoice_approval,TX0027,EMEA,U440,Manager,C,3,open_invoice,PDF Viewer,14.72,26.02,40.74,,0.9
invoice_approval,TX0027,EMEA,U440,Manager,C,4,validate_invoice_data,SAP,32.48,40.74,73.22,,0.6
invoice_approval,TX0027,EMEA,U440,Manager,C,5,check_tolerance,SAP,36.72,73.22,109.94,within_tolerance,0.6
invoice_approval,TX0027,EMEA,U440,Manager,C,6,approve_invoice,SAP,32.85,109.94,142.79,approved,0.6
invoice_approval,TX0027,EMEA,U440,Manager,C,7,record_log,Excel,19.38,142.79,162.17,approved,0.9
invoice_approval,TX0027,EMEA,U440,Manager,C,8,update_local_log,Notepad,21.36,162.17,183.53,approved,0.9
invoice_approval,TX0027,EMEA,U440,Manager,C,9,notify_requester,Outlook,11.4,183.53,194.92,approved,0.8
invoice_approval,TX0028,APAC,U914,Supervisor,A,1,read_email,Outlook,30.64,0.0,30.64,,0.8
invoice_approval,TX0028,APAC,U914,Supervisor,A,2,download_attachment,Outlook,10.75,30.64,41.38,,0.8
invoice_approval,TX0028,APAC,U914,Supervisor,A,3,open_invoice,PDF Viewer,20.79,41.38,62.17,,0.9
invoice_approval,TX0028,APAC,U914,Supervisor,A,4,validate_invoice_data,SAP,33.51,62.17,95.68,,0.6
invoice_approval,TX0028,APAC,U914,Supervisor,A,5,check_tolerance,SAP,33.85,95.68,129.53,exceeds_tolerance,0.6
invoice_approval,TX0028,APAC,U914,Supervisor,A,6,approve_invoice,SAP,25.82,129.53,155.35,approved,0.6
invoice_approval,TX0028,APAC,U914,Supervisor,A,7,record_log,Excel,11.32,155.35,166.67,approved,0.9
invoice_approval,TX0028,APAC,U914,Supervisor,A,8,notify_requester,Outlook,6.99,166.67,173.66,approved,0.8
invoice_approval,TX0029,NorthAmerica,U128,AP Clerk,A,1,read_email,Outlook,19.55,0.0,19.55,,0.8
invoice_approval,TX0029,NorthAmerica,U128,AP Clerk,A,2,download_attachment,Outlook,11.85,19.55,31.4,,0.8
invoice_approval,TX0029,NorthAmerica,U128,AP Clerk,A,3,open_invoice,PDF Viewer,14.54,31.4,45.94,,0.9
invoice_approval,TX0029,NorthAmerica,U128,AP Clerk,A,4,validate_invoice_data,SAP,47.64,45.94,93.58,,0.6
invoice_approval,TX0029,NorthAmerica,U128,AP Clerk,A,5,check_tolerance,SAP,28.53,93.58,122.11,exceeds_tolerance,0.6
